title,pdl count,top related titles,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,desired_education,desired_experience
senior finance manager,24547, finance, managerial finance, financial modeling, senior finance, financial analysis, strategic financial planning, financial reporting, financial audits, sarbanes oxley act,finance manager, sr finance manager, finance director, financial controller, head of finance, senior financial analyst, financial analyst, commercial finance manager, finance business partner, management accountant,B.Sc. Business Management,5
manager finance,24522, mis, managerial finance, finance, financial audits, internal audit, ifrs, financial analysis, financial reporting, forecasting,assistant manager finance, senior manager finance, deputy manager finance, asst manager finance, sr manager finance, manager accounts, manager-finance, manager finance & accounts, dgm finance, head finance,B.Sc. Business Management,5
marketing internship,24494, marketing communications, marketing, social media marketing, social media, digital marketing, teamwork, marketing research, google analytics, marketing strategy,sales internship, public relations internship, finance internship, communication internship, digital marketing internship, pr internship, internship, sales and marketing internship, advertising internship, marketing assistant,Enrolled in Bachelor's program,0
merchandising manager,24386, wovens, denim, apparel, trend analysis, knitwear, trend, textiles, fashion, textile industry,senior merchandising manager, merchandiser, assistant merchandising manager, merchandising director, merchandising supervisor, senior merchandiser, divisional merchandising manager, merchandise manager, retail merchandising manager, director of merchandising,B.Sc. Business Management,5
sales account executive,24365, cold calling, account management, sales, direct sales, sales process, sales operations, lead generation, sales presentations, solution selling,senior sales account executive, sales account manager, account executive, sales executive, sales account, sales account representative, account manager, sales representative, sales manager, sales account coordinator,B.Sc. Marketing,3
director of administration,24359, law firm administration, nonprofits, administration, fundraising, policy, community outreach, non profits, budgets, event planning,director administration, director - administration, director administration, assistant director of administration, manager of administration, administration director, firm administrator, vice president of administration, director of administration and finance, director of administrative services,MBA,10
human resource director,24351, benefits administration, employee benefits, deferred compensation, human resources, onboarding, fmla, succession planning, hris, workforce planning,human resource manager, human resources director, director of human resources, human resource consultant, human resources manager, human resource generalist, director human resources, hr director, human resource coordinator, director - human resources,MBA,10
assurance intern,24320, us gaap, cpa, accounting, auditing, sec filings, aura, psi, financial accounting, financial analysis,assurance associate, assurance staff, assurance senior, assurance experienced associate, accounting intern, assurance senior associate, experienced assurance associate, senior assurance associate, assurance manager, internal audit intern,Enrolled in Bachelor's program,0
student nurse,24289, cpr certified, healthcare, nursing care, medication administration, vital signs, patient safety, patient advocacy, patient education, clinical research,registered nurse, staff nurse, healthcare assistant, health care assistant, nursing student, registered practical nurse, certified nursing assistant, student midwife, student nurse intern, care support worker,B.Sc. Nursing,5
marketing and communications manager,24218, internal communications, corporate communications, strategic communications, marketing communications, media relations, press releases, communications, copywriting, public relations,marketing & communications manager, communications manager, marketing manager, marketing and communications, head of marketing and communications, director of marketing and communications, marketing and communications consultant, marketing communications manager, senior marketing and communications manager, marketing and communications coordinator,B.Sc. Business Management,5
location manager,24196, location manager, location scouting, feature films, film production, short films, lungometraggi, commercials, grain, produzione cinematografica,assistant location manager, location scout, key assistant location manager, location assistant, locations manager, location supervisor, location coordinator, funeral director, locations assistant, city operations manager,B.Sc. Business Management,5
biomedical engineer,24139, medical imaging, medical devices, ultrasound, hardware diagnostics, biomedical devices, biomedical engineer, medical equipment, dicom, clinical engineering,senior biomedical engineer, biomedical technician, clinical engineer, biomedical service engineer, bio medical engineer, bio-medical engineer, biomedical engineer trainee, biomedical equipment technician, biomedical engineering, biomedical engineer intern,B.Sc. Computer Science,2
reliability engineer,24128, reliability, rcm, condition monitoring, reliability centered maintenance, fmeca, predictive maintenance, weibull analysis, root cause analysis, plant maintenance,senior reliability engineer, sr reliability engineer, reliability manager, mechanical reliability engineer, maintenance engineer, reliability engineering manager, principal reliability engineer, condition monitoring engineer, reliability specialist, maintenance reliability engineer,B.Sc. Computer Science,2
senior managing director,24093, real estate economics, alternative investments, location intelligence, hedge funds, tenant representation, corporate real estate, asset management, private equity, dispositions,sr managing director, managing director, executive managing director, senior vice president, vice president, director, senior managing partner, chief investment officer, board member, partner,MBA,10
store director,24087, supermarkets, store management, inventory control, merchandising, loss prevention, profit, store operations, inventory management, big box,assistant store director, store manager, district manager, store team leader, grocery manager, market director, associate store manager, education lead, boutique director, general manager,MBA,10
sr software developer,24078, wcf, web services, microsoft sql server, ajax, net, vb.net, xml, c#, linq,software developer, sr developer, sr software engineer, senior software developer, sr application developer, jr software developer, sr software consultant, srsoftware developer, sr net developer, sr web developer,B.Sc. Computer Science,2
consulting engineer,24047, engineering management, power generation, energy, project engineering, power plants, nerc, nuclear, nuclear engineering, systems engineering,senior consulting engineer, sr consulting engineer, principal consulting engineer, principal engineer, engineering consultant, engineer, consulting engineers, consultant engineer, fellow engineer, network consulting engineer,B.Sc. Computer Science,2
project management intern,24007, leadership, microsoft excel, data analysis, powerpoint, microsoft office, public speaking, project management, bluebeam, microsoft word,it project management intern, intern, construction management intern, project manager intern, estimating intern, marketing intern, facilities management intern, engineering intern, business development intern, program management intern,Enrolled in Bachelor's program,0
resident manager,23995, pre opening, hotel management, front office, resorts, yield management, revenue analysis, micros, pre opening experience, hotels,assistant resident manager, executive assistant manager, hotel manager, front office manager, rooms division manager, director of rooms, resort manager, property manager, general manager, director of food & beverage,B.Sc. Business Management,5
junior account manager,23840, integriertes marketing, werbung, marketingkommunikation, onlinewerbung, digitale strategie, marketing communications, digital marketing, digitale medien, social media,account manager, account-manager, junior accountmanager, junior account executive, senior account manager, pr assistant, account executive, jr account manager, sales assistant, account manager assistant,B.Sc. Business Management,5
assistant service manager,23822, automotive repair, automotive aftermarket, parts, vehicles, dealer management, tires, reynolds, automobile, automotive,service advisor, service manager, service consultant, asst service manager, service drive manager, service director, service writer, warranty administrator, senior service advisor, parts manager,B.Sc. Business Management,5
quality control engineer,23801, ndt, kalite kontrol, inspection, engineering, autocad, nondestructive testing ndt, manufacturing, quality management, quality assurance,senior quality control engineer, qc engineer, qa/qc engineer, quality engineer, quality control manager, quality control chief, quality control inspector, production engineer, quality control, quality assurance quality control engineer,B.Sc. Computer Science,2
director of it,23764, it management, data center, information technology, it operations, virtualization, microsoft exchange, servers, active directory, security,director of information technology, it manager, manager of it, vp of it, vice president of information technology, vice president of it, director of technology, director of information systems, vp of information technology, director of it operations,MBA,10
director of photography,23691, camera operating, 35mm, camera, camera operation, short films, music videos, documentaries, film production, hd video,cinematographer, camera operator, gaffer, cameraman, 1st assistant camera, freelance director of photography, camera assistant, assistant camera, videographer, 2nd assistant camera,MBA,10
terminal manager,23669, trucking, ltl, transportation management, dot regulations, container, flatbed, freight, dispatching, transportation,assistant terminal manager, terminal operations manager, service center manager, terminal supervisor, terminal operator, terminal superintendent, transportation manager, dispatcher, terminal trainmaster, operations manager,B.Sc. Business Management,5
judicial intern,23637, legal research, legal writing, lexisnexis, lexis, judicial, motions, criminal law, legal issues, litigation,legal intern, law clerk, summer associate, student attorney, associate attorney, judicial law clerk, associate, legal extern, summer law clerk, certified legal intern,Enrolled in Bachelor's program,0
social media marketing intern,23594, facebook, social media marketing, twitter, instagram, social media, blogging, social networking, pinterest, event planning,marketing intern, social media intern, social media marketing, digital marketing intern, social media coordinator, social media manager, public relations intern, social media marketing assistant, social media marketing manager, social media marketing coordinator,Enrolled in Bachelor's program,0
senior staff engineer,23463, asic, semiconductors, ic, digital signal processors, eda, system on a chip soc, cmos, hardware architecture, rtl design,staff engineer, sr staff engineer, principal staff engineer, principal engineer, senior engineer, distinguished member of the technical staff, member of technical staff, engineer staff, senior principal engineer, asic design engineer,B.Sc. Computer Science,2
leasing manager,23419, shopping centers, property management, lease administration, lease negotiations, leasing, apartments, commercial leasing, onesite, fair housing,leasing consultant, senior leasing manager, leasing director, leasing professional, leasing specialist, leasing agent, leasing representative, leasing executive, director of leasing, property manager,B.Sc. Business Management,5
director sales,23414, business alliances, business development, saas, strategic partnerships, solution selling, channel partners, enterprise software, cloud computing, verkaufsleitung,director-sales, director sales, director of sales, director sales & marketing, senior director sales, vp sales, director international sales, vice president sales, sales manager, director global sales,MBA,10
assistant account manager,23345, property and casualty insurance, general insurance, liability, workers compensation, professional liability, digital marketing, marketing communications, insurance, casualty insurance,account manager, guest service coordinator, asst account manager, assistant accounts manager, account management intern, assistant manager accounts, account executive, account coordinator, account supervisor, commercial lines account manager,B.Sc. Business Management,5
market development manager,23299, competitive analysis, product marketing, product launch, coatings, polymers, resin, coca cola, adhesives, thermoplastics,senior market development manager, market development, market development specialist, market development executive, marketing development manager, key account development manager, market development director, director of market development, business development manager, head of market development,B.Sc. Business Management,5
customer relationship manager,23268, customer relationship management crm, relationship management, banking, loan modifications, team management, customer retention, business development, customer satisfaction, credit,senior customer relationship manager, customer relationship officer, customer relations manager, customer relationship management manager, customer relationship executive, customer relationship, client relationship manager, customer relationship management, relationship manager, customer relationship coordinator,B.Sc. Business Management,5
regional sales representative,23174, sales presentations, cold calling, sales management, sales, selling, direct sales, account management, sales process, b2b,regional sales rep, sales representative, regional sales manager, regional representative, regional sales, regional sales executive, regional sales consultant, regional sales associate, regional account representative, territory manager,B.Sc. Marketing,3
marketing communications,23162, corporate communications, internal communications, media relations, strategic communications, digital marketing, public relations, communications, copywriting, press releases,marketing communication, marketing communications specialist, marketing communications manager, corporate communications, marketing communications coordinator, marketing communications supervisor, marcomm, marketing manager, public relations, marketing communications executive,B.Sc. Marketing,3
legislative intern,23089, legislative research, legislation, political campaigns, public policy, politics, legislative affairs, constituent services, policy analysis, political science,legislative aide, legislative assistant, campaign intern, congressional intern, field organizer, intern, legislative correspondent, staff assistant, legal intern, constituent services intern,Enrolled in Bachelor's program,0
digital project manager,23047, web project management, digital strategy, google analytics, digital marketing, web analytics, user experience, digital media, marketing en ligne, digital production,senior digital project manager, digital producer, junior digital project manager, freelance digital project manager, digital project coordinator, digital project director, chef de projet digital, senior digital producer, digital consultant, digital manager,B.Sc. Business Management,5
marketing trainee,23012, market analysis, marketing communications, trade marketing, marketing management, marketing research, digital marketing, brand management, marketing, fmcg,trade marketing trainee, sales trainee, communication trainee, marketing assistant, junior brand manager, online marketing trainee, digital marketing trainee, sales and marketing trainee, marketing analyst, brand manager,B.Sc. Marketing,3
communication manager,22976, internal communications, strategic communications, crisis communications, media relations, communications planning, marketing communication, communication marketing, marketing communications, comunicazioni interne,communication consultant, communications manager, communication officer, internal communication manager, communication director, communication assistant, senior communication manager, communication executive, head of communication, corporate communication manager,B.Sc. Business Management,5
food service director,22905, food safety, food service, menu development, sanitation, culinary skills, catering, food, cooking, food service management,assistant food service director, food service manager, director of dining services, director of food services, director of food service, food services director, dietary manager, foodservice director, food service supervisor, chef manager,MBA,10
co manager,22882, visual merchandising, loss prevention, store operations, retail sales, merchandising, store management, inventory control, inventory management, associate development,store manager, assistant manager, sales lead, co-manager, assistant store manager, store co manager, sales associate, sales leader, associate manager, color lead,B.Sc. Business Management,5
director of public relations,22819, media relations, publicity, press releases, strategic communications, corporate communications, internal communications, speech writing, spokesperson, public relations,public relations director, public relations manager, director public relations, director of communications, director public relations, assistant director of public relations, director - public relations, director of pr, manager of public relations, public relations consultant,MBA,10
project manager assistant,22814, communication marketing, french, english, anglais, lingua inglese, project management, relazioni internazionali, autocad, microsoft office,product manager assistant, event manager assistant, project manager, marketing manager assistant, manager assistant, project management assistant, marketing and communication assistant, junior project manager, communication assistant, pm assistant,B.Sc. Business Management,5
dy manager,22795, team management, power plants, thermal power plant, commissioning, epc, factory, kaizen, manufacturing, engineering,asst manager, sr engineer, sr manager, asstt manager, dy mgr, dy general manager, sr executive, deputy manager, sr officer, jr manager,B.Sc. Business Management,5
police,22777, criminal investigations, emergency management, enforcement, private investigations, firearms, criminal justice, public safety, crime prevention, law enforcement,police officer, police man, policeman, constable, police constable, agent de police, raf police, polis, policia, superintendent of police,None or Specialized Training,2
sales team leader,22746, sales, sales management, team management, direct sales, account management, leadership, business development, sales operations, sales process,sales team lead, logistics account executive, sales team manager, sales manager, market developer, sales executive, team leader, branch team leader, sales consultant, sales representative,B.Sc. Marketing,3
customer care manager,22740, call centers, customer experience, customer satisfaction, contact centers, customer care, customer retention, team leadership, customer service management, workforce management,customer care supervisor, director of customer care, customer service manager, customer care director, head of customer care, customer care team lead, customer care team leader, call center manager, senior manager customer care, customer care lead,B.Sc. Business Management,5
testing engineer,22630, regression testing, test planning, system testing, testing, test cases, functional testing, test management, test automation, qtp,senior testing engineer, sr testing engineer, test engineer, software testing engineer, testing and commissioning engineer, testing team leader, testing & commissioning engineer, testing technician, testing engg, testing,B.Sc. Computer Science,2
director creativo,22612, publicidad, publicidad en internet, redes sociales, estrategia digital, comunicaciones de marketing, mercadotecnia en medios sociales, marketing digital, desarrollo de marca, publicidad interactiva,diseñador gráfico, creativo, director de arte, redactor creativo, director general creativo, director creativo asociado, director creativo ejecutivo, redactor senior, supervisor creativo, diseñador,MBA,10
export sales manager,22596, international sales, international business, vendite internazionali, export sales, international trade, exportation, esportazione, vente internationale, gestione vendite,export manager, export sales, export sales director, export sales executive, export area sales manager, export area manager, export sales representative, export sales specialist, export sales assistant, international sales manager,B.Sc. Business Management,5
site director,22568, call center development, contact centers, youth development, community outreach, program development, call center, bpo, nonprofits, child development,assistant site director, site coordinator, program director, site leader, call center director, call center manager, teacher, program coordinator, program leader, director of call center operations,MBA,10
sales & marketing director,22561, b2b, business development, key account management, marketing management, sales management, business strategy, new business development, product marketing, fmcg,sales and marketing director, sales director, sales & marketing manager, commercial director, head of sales & marketing, business development director, sales manager, managing director, marketing manager, sales & marketing consultant,MBA,10
manager human resources,22483, performance appraisal, employee relations, performance management, talent management, talent acquisition, personnel management, hris, human resources, hr policies,manager hr, manager-human resources, assistant manager human resources, senior manager human resources, director human resources, deputy manager human resources, sr manager human resources, manager - human resources, manager human resources, human resources manager,B.Sc. Business Management,5
marketing project manager,22426, digital marketing, email marketing, market research, marketing, marketing management, direct marketing, google analytics, integrated marketing, advertising,senior marketing project manager, marketing manager, marketing project coordinator, marketing coordinator, marketing specialist, digital marketing project manager, marketing assistant, marketing program manager, marketing project specialist, marketing communications project manager,B.Sc. Business Management,5
regional business manager,22360, pharmaceutical sales, hospital sales, cardiology, product launch, pharmaceutical industry, market access, oncology, neurology, dermatology,area business manager, zonal business manager, regional business director, divisional business manager, regional sales manager, healthcare development manager, regional manager, region business manager, medical representative, territory business manager,B.Sc. Business Management,5
senior manufacturing engineer,22351, fmea, root cause analysis, lean manufacturing, value stream mapping, kaizen, spc, design for manufacturing, dmaic, manufacturing,manufacturing engineer, sr manufacturing engineer, sr mfg engineer, principal manufacturing engineer, manufacturing engineering manager, staff manufacturing engineer, manufacturing engineer ii, process engineer, lead manufacturing engineer, advanced manufacturing engineer,B.Sc. Computer Science,2
center director,22327, child development, naeyc accreditation, staff development, program development, community outreach, childcare, leadership development, admissions, nonprofits,assistant center director, center manager, assistant director, director of education, early childhood director, centre director, school director, course consultant, senior center director, program director,MBA,10
junior manager,22272, steel plant, anda, steel, metallurgy, thermal power plant, generic programming, team management, dissolution, rolling,jr manager, senior staff, senior assistent, jrmanager, graduate engineer trainee, assistant manager, assistent accountant, senior assistent accountant, opdrachtleider, controleleider,B.Sc. Business Management,5
regional marketing manager,22137, market planning, marketing management, field marketing, brand management, marketing communications, competitive analysis, product marketing, market research, integrated marketing,marketing manager, field marketing manager, regional marketing director, regional marketing specialist, district marketing manager, regional marketing, regional marketing coordinator, area marketing manager, field marketing director, director of marketing,B.Sc. Business Management,5
area business manager,22069, sales effectiveness, hospital sales, pharmaceutical industry, cardiology, product launch, neurology, market access, oncology, gastroenterology,regional business manager, zonal business manager, territory business manager, business officer, medical representative, senior area business manager, field sales officer, business executive, medical business associate, area sales manager,B.Sc. Business Management,5
sales man,22053, sales, sales management, uae, negotiation, dubai, arabic, icdl, egyptian, retail,salesman, sale man, sales men, sales manager, مندوب مبيعات, sales supervisor, super visor, call center, sales executive, sales representative,B.Sc. Marketing,3
mobile application developer,22022, android development, mobile applications, swift, objective c, xcode, android, ios, iphone application development, sqlite,android developer, senior mobile application developer, ios developer, mobile developer, mobile app developer, android application developer, senior mobile developer, mobile applications developer, ios application developer, ios app developer,B.Sc. Computer Science,2
change manager,22014, stakeholder management, problem management, change management, service management, business transformation, itil, it service management, service desk, service delivery,senior change manager, change analyst, organisational change manager, change management lead, change management consultant, senior change analyst, change coordinator, change lead, change and release manager, change consultant,B.Sc. Business Management,5
sales marketing manager,21989, marketing, marketing strategy, business development, sales, market research, negotiation, marketing communications, management, business strategy,sales and marketing manager, sales manager, marketing manager, senior sales marketing manager, sales/marketing manager, sales & marketing, sales marketing, sales & marketing manager, sales and marketing specialist, sales marketing director,B.Sc. Business Management,5
director of facilities,21980, facilities operations, facilities, building maintenance, ifma, environment of care, hvac, facility operations, energy management, facilities planning,facilities director, director of facilities management, facilities manager, director facilities, assistant director of facilities, director facilities, director of facility services, director of facilities services, director of facilities and operations, director of plant operations,MBA,10
field service manager,21904, formation evaluation, completion, wireline, completions, qhse, petroleum engineering, field service, pressure, stimulation,field service supervisor, engineer in charge, general field engineer, field service engineer, field service coordinator, field service technician, field services manager, service manager, field engineer, wireline field engineer,B.Sc. Business Management,5
solutions engineer,21867, solutions, virtualization, data center, enterprise software, voip, troubleshooting, vmware, technical support, saas,senior solutions engineer, solution engineer, sr solutions engineer, solutions consultant, solutions architect, solutions engineering manager, principal solutions engineer, sales engineer, technical solutions engineer, systems engineer,B.Sc. Computer Science,2
director of research,21845, qualitative research, survey design, research design, quantitative research, program evaluation, survey research, lifesciences, advertising research, audience measurement,research director, director research, associate director of research, vice president of research, director research, manager of research, research manager, assistant director of research, vp research, head of research,MBA,10
workshop manager,21842, maintenance management, vehicles, automotive, continuous improvement, automotive aftermarket, parts, fleet management, maintenance and repair, heavy equipment,workshop supervisor, workshop foreman, workshop controller, workshop engineer, assistant workshop manager, work shop manager, service manager, hgv technician, workshop technician, fleet engineer,B.Sc. Business Management,5
benefits manager,21816, open enrollment, benefits administration, employee benefits, fmla, retirement benefits, employee benefits design, benefits, hris, deferred compensation,benefits administrator, benefits specialist, benefits analyst, director of benefits, benefits supervisor, sr benefits analyst, benefits coordinator, senior benefits manager, corporate benefits manager, senior benefits analyst,B.Sc. Business Management,5
qa/qc engineer,21813, asme, tanks, pressure vessels, rt, nondestructive testing ndt, piping, asnt, astm, inspection,qc engineer, qa/qc manager, qa/qc inspector, inspection engineer, senior qa/qc engineer, qc inspector, sr qa/qc engineer, qaqc engineer, qa/qc supervisor, qa/qc coordinator,B.Sc. Computer Science,2
sales development manager,21794, sales management, key account development, trade marketing, sales operations, key account management, sales development, business development, sales, sales process,senior sales development manager, director of sales development, sales development, sales development director, business development manager, sales manager, head of sales development, sales development representative, sales development executive, national sales development manager,B.Sc. Business Management,5
3rd grade teacher,21788, classroom management, lesson planning, differentiated instruction, guided reading, classroom, literacy, smartboard, tutoring, curriculum development,2nd grade teacher, third grade teacher, 4th grade teacher, 1st grade teacher, 5th grade teacher, teacher, kindergarten teacher, 6th grade teacher, student teacher, substitute teacher,B.Ed,3
business relationship manager,21788, relationship management, commercial banking, small business lending, banking, commercial lending, credit analysis, credit, credit risk, loans,senior business relationship manager, local business manager, relationship manager, business banker, business banking relationship manager, it business relationship manager, commercial relationship manager, client partner, personal banker, business relationship officer,B.Sc. Business Management,5
guest services manager,21781, hotel management, guest service management, rooms division, hospitality industry, opera, hotels, hospitality management, property management systems, resorts,guest services supervisor, front office manager, assistant guest services manager, guest service manager, assistant front office manager, director of guest services, guest service agent, front desk agent, guest relations manager, guest services agent,B.Sc. Business Management,5
database developer,21763, database design, t sql, ssrs, etl, database development, data warehousing, sql server integration services ssis, database administration, analysis services,senior database developer, sql developer, sr database developer, database administrator, data engineer, database engineer, sql server developer, bi developer, data warehouse developer, database architect,B.Sc. Computer Science,2
software developer intern,21760, java, c++, javascript, css, html, c, algorithms, programming, git,software engineer intern, web developer intern, software developer, software developer internship, software engineer, software engineering intern, software development engineer, software development intern, application developer intern, software developer co-op,B.Sc. Computer Science,2
board director,21695, strategy, corporate development, mergers and acquisitions, strategic partnerships, angel investing, executive management, start ups, board of directors, board governance,board observer, independent board director, board advisor, board member, member board of directors, investor, board of directors, advisor, director, chairman of the board,MBA,10
manager information technology,21679, it management, information technology, it operations, data center, vendor management, it strategy, troubleshooting, security, active directory,manager it, manager information technology, manager-information technology, senior manager information technology, manager it, manager of information technology, manager information systems, manager-it, manager - it, director information technology,B.Sc. Business Management,5
qc engineer,21641, asme, quality control, pressure vessels, tanks, nondestructive testing ndt, welding inspection, piping, inspection, rt,qa/qc engineer, qc inspector, inspection engineer, senior qc engineer, quality control engineer, qc supervisor, qc manager, welding inspector, welding engineer, qa/qc manager,B.Sc. Computer Science,2
director de operaciones,21591, estrategia empresarial, cadena de suministro, cambio organizacional, mejora continua, liderazgo, estrategia, plan de negocio, transporte, mejora de procesos,gerente de operaciones, director operaciones, director general, director de planta, director industrial, director de producción, director de logística, subdirector de operaciones, director general de operaciones, director comercial,MBA,10
customer service engineer,21587, technical support, software installation, hardware, electronics, dicom, field service, printers, medical imaging, computer hardware,senior customer service engineer, field service engineer, customer engineer, customer support engineer, customer services engineer, service engineer, technical support engineer, customer service technician, field service technician, implementation delivery engineer,B.Sc. Computer Science,2
2nd grade teacher,21564, classroom management, guided reading, lesson planning, differentiated instruction, literacy, smartboard, classroom, tutoring, curriculum development,1st grade teacher, 3rd grade teacher, second grade teacher, 4th grade teacher, kindergarten teacher, 5th grade teacher, teacher, substitute teacher, student teacher, 6th grade teacher,B.Ed,3
senior civil engineer,21534, civil engineering, highways, stormwater management, road, earthworks, sewer, structural engineering, hydrology, concrete,civil engineer, principal civil engineer, associate civil engineer, lead civil engineer, senior civil structural engineer, sr civil engineer, site engineer, site civil engineer, resident engineer, project civil engineer,B.Sc. Computer Science,2
ceo & co-founder,21500, mobile devices, e commerce, strategic partnerships, mobile applications, entrepreneurship, venture capital, lean startup, strategy, monetization,chief executive officer founder, ceo & founder, coo & co-founder, chief executive officer and co-founder, cto & co-founder, ceo and co-founder, co-founder, cmo & co-founder, ceo & co founder, co-founder & ceo,MBA,10
centre manager,21491, shopping centers, virtual office, training delivery, soft skills, team management, facilities management, performance management, training, corporate real estate,assistant centre manager, centre head, centre director, shopping centre manager, deputy centre manager, center manager, centre coordinator, business centre manager, centre supervisor, training centre manager,B.Sc. Business Management,5
sales and marketing representative,21491, marketing, sales and marketing, leadership, customer service, sales operations, sales management, social media, event planning, marketing strategy,sales & marketing representative, sales and marketing rep, sales & marketing rep, sales representative, marketing representative, sales marketing representative, sales and marketing, sales and marketing specialist, marketing and sales representative, sales/marketing representative,B.Sc. Marketing,3
group sales manager,21473, convention services, hotels, hospitality industry, hotel management, tourism, resorts, hospitality management, revenue analysis, hospitality,senior group sales manager, group sales coordinator, catering sales manager, director of group sales, sales manager, group sales, business travel sales manager, executive meeting manager, group sales executive, corporate group sales manager,B.Sc. Business Management,5
assistante marketing,21465, marketing en ligne, marketing direct, management marketing, marketing digital, marketing par e mail, marketing international, gestion de projet, marketing social, anglais,assistante chef de produit, assistante marketing et communication, assistante commerciale, chargée de communication, responsable marketing, conseillère de vente, chargée de marketing, assistante marketing et commerciale, chef de projet marketing, assistante chef de projet,B.Sc. Marketing,3
logistic manager,21454, logistics management, supply chain management, logistica, supply chain, gestione supply chain, gestione logistica, ottimizzazione della supply chain, warehousing, supply chain optimization,logistics manager, logistic director, supply chain manager, logistic supervisor, logistic coordinator, logistic specialist, logistic project manager, logistic, responsabile logistica, logistic assistant,B.Sc. Business Management,5
business analyst intern,21428, data analysis, r, business analysis, vba, sas, analysis, microsoft access, microsoft excel, teamwork,business analyst, merchandise planning business analyst, data analyst intern, financial analyst intern, analyst intern, business development intern, business intelligence analyst intern, intern, business systems analyst intern, it business analyst intern,Enrolled in Bachelor's program,0
customer experience manager,21415, customer experience management, net promoter score, contact centers, customer satisfaction, customer journey mapping, customer experience design, retail, team leadership, customer retention,head of customer experience, assistant customer experience manager, customer experience supervisor, director of customer experience, senior customer experience manager, customer experience leader, customer experience, customer experience lead, customer experience director, customer service manager,B.Sc. Business Management,5
director de proyectos,21380, liderazgo de equipos, estrategia empresarial, cambio organizacional, estudios de mercado, inteligencia empresarial, liderazgo, comportamiento del consumidor, telecomunicaciones, redes sociales,director de proyecto, coordinador de proyectos, gerente de proyectos, ingeniero de proyectos, director de obra, jefe de proyectos, director proyectos, arquitecto, director técnico, gerente de proyecto,MBA,10
special projects manager,21347, nonprofits, fundraising, community outreach, leadership, program management, management, budgets, event planning, government,special project manager, special projects, special projects coordinator, special projects analyst, special projects director, director of special projects, manager of special projects, project manager, special projects consultant, special projects supervisor,B.Sc. Business Management,5
assistant production manager,21291, production planning, haccp, stage management, manufacturing, food processing, production managment, iso 22000, continuous improvement, lean manufacturing,production manager, associate production manager, production executive, production coordinator, production supervisor, stage manager, production assistant, production engineer, deputy production manager, production officer,B.Sc. Business Management,5
senior quality assurance engineer,21262, test planning, regression testing, manual testing, test automation, quality assurance, test cases, quality center, qtp, selenium,senior qa engineer, quality assurance engineer, sr qa engineer, qa engineer, principal quality assurance engineer, lead quality assurance engineer, sr quality assurance engineer, senior software quality assurance engineer, software quality assurance engineer, senior quality assurance automation engineer,B.Sc. Computer Science,2
geotechnical engineer,21243, slope stability, geotechnics, site investigation, deep foundations, engineering geology, slope stability analysis, foundation design, rock mechanics, retaining walls,senior geotechnical engineer, graduate geotechnical engineer, principal geotechnical engineer, engineering geologist, project geotechnical engineer, assistant geotechnical engineer, junior geotechnical engineer, staff geotechnical engineer, geotechnical consultant, geological engineer,B.Sc. Computer Science,2
customer engineer,21158, storage, storage area networks, symmetrix, hardware, troubleshooting, brocade, data center, servers, enterprise storage,senior customer engineer, customer engineer ii, associate customer engineer, sr customer engineer, account support manager, implementation delivery engineer, customer support engineer, customer service engineer, rework technician, field service engineer,B.Sc. Computer Science,2
officer manager,21127, payroll, outlook, accounts receivable, office administration, human resources, customer service, budgets, event planning, government,manager or supervisor, manager, office manager, executive assistant, executive, off manager, storeroom clerk, deputy clerk of court, officer, administrator,B.Sc. Business Management,5
senior application engineer,21121, ic, soc, automation, asic, mixed signal, analog, eda, electronics, process automation,application engineer, sr application engineer, principal application engineer, staff application engineer, lead application engineer, senior applications engineer, applications engineer, application engineering manager, field application engineer, principal applications engineer,B.Sc. Computer Science,2
clinic manager,21058, healthcare management, ehr, healthcare information technology, hipaa, revenue cycle, healthcare, physician relations, emr, clinics,clinic supervisor, clinic administrator, clinic operations manager, clinic coordinator, assistant clinic manager, director of clinic operations, practice manager, clinic director, spa manager, clinical manager,B.Sc. Business Management,5
chief of police,21018, internal affairs, swat, law enforcement operations, homeland security, community policing, interrogation, crime prevention, public safety, criminal investigations,police chief, deputy chief of police, assistant chief of police, police officer, chief, director of public safety, police captain, deputy chief, patrolman, patrol officer,None or Specialized Training,2
instrumentation engineer,20966, dcs, control valves, field instruments, distributed control system dcs, scada, plc, smart plant instrumentation, calibration, process control,instrument engineer, senior instrumentation engineer, instrumentation and control engineer, instrumentation control engineer, instrumentation design engineer, sr instrumentation engineer, instrumentation & control engineer, instrumentation supervisor, lead instrumentation engineer, instrumentation manager,B.Sc. Computer Science,2
branch sales manager,20957, cross selling, document imaging, loans, mortgage lending, banking, loan origination, mortgage banking, managed print services, credit,branch manager, relationship manager, sales manager, unit sales manager, area sales manager, branch head, district sales manager, privilege banker, regional sales manager, field sales supervisor,B.Sc. Business Management,5
